"Date","Time","Vids","Cost","Initial Views","Shares","Likes","Follows","Favorites","Gender","Age: 13-17","Ages: 18-24","Age: 25-34","Age:35-44","Age45-54","Age:55+","Comments","Duration","Audience","Goal","Notes"
"6/14/2022","19:22","Video 1","199.62","41500","1","11500","NA","","78%F/ 22%M","35%","50%","11%","4%","0","0","3","2 Days","Default","Views",""
"6/23/2022","12:27","Video 2","138.00","9600","0","1200","975","","44%F/ 56%M","0","80%","20%","0","0","0","0","2 Days","Custom","Follows",""
"7/1/2022","23:02","Video 3","100.00","4400","0","1200","904","","100%F/ 0%M","0","67%","26%","7%","0","0","1","5 Days","Custom","Follows",""
"7/7/2022","22:52","Video 4","105.00","6900","0","745","502","","66%F/ 34%M","41%","41%","12%","5%","1%","0","0","7 Days","Custom","Follows",""
"7/15/2022","1:13","Video 5","105.00","22100","0","1000","393","","60%F/ 40%M","62%","26%","8%","3%","1%","0","3","7 Days","Default","Follows",""
"7/22/2022","7:15","Video 6","26.89","6700","0","246","176","","59%F/ 41%M","44%","16%","14%","14%","8%","4%","1","1 Day","Default","Follows","Not Approved"
"7/24/2022","21:26","Video 3","24.00","5000","0","192","93","","60%F/ 40%M","53%","28%","12%","5%","2%","0","0","2 Days","Default","Follows",""
"7/24/2022","21:27","Video 2","20.00","4300","0","149","88","","59%F/ 41%M","56%","28%","12%","4%","0","0","0","2 Days","Default","Follows",""
"7/24/2022","21:29","Video 5","20.00","4200","0","196","75","","63%F/ 37%M","55%","23%","9%","7%","5%","1%","0","4 Days","Default","Follows",""
"7/24/2022","21:30","Video 1","10.00","691","0","62","51","","100%F/ 0%M","0","56%","25%","14%","5%","0","0","2 Days","Custom","Follows","No longer Approved"
"7/28/2022","19:56","Video 7","52.50","10900","0","275","115","","59%F/ 41%M","49%","34%","11%","5%","1%","0","0","7 Days","Default","Follows","Closed;Not Approved"
"8/1/2022","12:46","Video 5","24.00","1500","0","380","169","","100%F/ 0%M","0","74%","20%","5%","1%","0","0","2 Days","Custom","Follows",""
"8/1/2022","12:48","Video 2","20.00","1300","0","148","100","","100%F/ 0%M","0","71%","21%","8%","0","0","0","2 Days","Custom","Follows",""
"8/5/2022","15:58","Video 8","30.07","7300","0","163","43","","57%F/ 43%M","55%","21%","10%","9%","5%","0","","3 Days","Default","Follows",""
"8/7/2022","17:15","Video 5","20.00","4200","2","185","47","","64%F/ 36%M","65%","19%","10%","5%","1%","0","0","2 Days","Default","Follows",""
"8/9/2022","17:14","Video 3","22.00","4700","0","193","88","","61%F/ 39%M","45%","33%","14%","6%","2%","0","0","2 Days","Default","Follows",""
"8/11/2022","19:07","Video 3","24.00","1500","0","213","143","","100%F/ 0%M","0","66%","22%","10%","2%","0","1","2 Days","Custom","Follows",""
"8/12/2022","14:35","Video 9","96.00","20200","0","445","125","","64%F/ 36%M","46%","33%","14%","5%","2%","0","1","6 Days","Default","Follows",""
"8/18/2022","17:22","Video 10","105.00","22100","0","385","131","","61%F/ 39%M","44%","34%","14%","6%","2%","0","2","7 Days","Default","Follows",""
"8/26/2022","21:17","Video 11","98.00","20600","0","476","161","","66%F/ 34%M","41%","37%","14%","6%","2%","0","0","7 Days","Default","Follows",""
"9/3/2022","23:27","Video 12","8.89","1900","0","662","NA","","84%F/ 16%M","62%","27%","8%","3%","0","0","0","2 Days","Default","Views","Closed"
"9/5/2022","3:09","Video 12","30.00","6400","0","295","137","","63%F/ 37%M","44%","33%","14%","7%","2%","0","0","6 Days","Default","Follows",""
"9/11/2022","21:35","Video 12","30.00","6300","0","267","138","","60%F/ 40%M","46%","34%","12%","6%","2%","0","2","6 Days","Default","Follows",""
"9/19/2022","0:28","Video 12","25.00","1700","0","137","98","","0%F/ 100%M","45%","39%","16%","0","0","0","4","5 Days","Custom","Follows",""
"9/19/2022","0:30","Video 5","25.00","5400","0","195","74","","63%F/ 37%M","35%","39%","15%","7%","4%","0","0","5 Days","Default","Follows",""
"9/26/2022","19:32","Video 12","25.00","5300","0","199","86","","74%F/ 26%M","50%","30%","11%","6%","3%","0","2","5 Days","Default","Follows",""
"9/26/2022","19:33","Video 11","25.00","5200","0","98","49","","87%F/ 13%M","55%","33%","8%","4%","0","0","0","5 Days","Default","Follows",""
"10/3/2022","4:05","Video 12","15.00","3215","0","1200","NA","","89%F/ 11%M","68%","26%","4%","2%","0","0","11","3 Days","Default","Views",""
"10/3/2022","4:06","Video 6","10.00","2123","0","471","NA","","53%F/ 47%M","35%","48%","14%","3%","0","0","2","2 Days","Default","Views",""
"10/10/2022","16:09","Video 13","24.00","5110","5","160","109","2","%58F/ 42%M","54%","25%","11%","6%","4%","0","0","5 Days","Default","Follows","Needs Repost**"
"10/17/2022","17:40","Video 13","25.00","5136","5","1638","6","2","%78F/ 22%M","49%","39%","7%","3%","2%","0%","1","5 Days","Default","Views",""
"10/26/2022","4:30","Video 12","10.00","362","0","NA","3","0","%33.5F/%66.5M","65%","24%","3.50%","6.80%","0","0","2","1 Day","Custom","ENG","Business - engagement:custom"
"10/29/2022","5:12","Video 13","36","3800","1","269","229","0","%67F/ %33M","77%","18%","5%","0","0","0","1","2 Days","Custom","Follows","20% off coupon"
"10/30/2022","23:58","Video 12","26","5482","1","1300","NA","3","%67F/ %33M","51%","37%","9%","3%","0","0","3","2 Days","Default","Views",""
"","","","","","","","","","","","","","","","","","","","",""
